23A,0.24,0.263,0.133,0.131
23B,,,,
23C,,,,
23D,0.219,0.231,0.124,0.123
23E,,,,
23F,0.227,0.304,0.129,0.152
23G,,,,
25A,,,,
25B,,,,
25C,,,,
25D,,,,
26A,0.237,0.293,0.142,0.162
26B,0.25,0.258,0.137,0.152
26C,,,,
26E,,,,
26F,0.21,0.248,0.13,0.145
26G,0.308,0.286,0.165,0.145
26H,0.15,0.303,0.057,0.153
28A,0.286,0.339,0.116,0.164
29A,,,,
29B,,,,
29C,0.276,0.234,0.13,0.134
29D,,,,
29E,0.216,0.246,0.146,0.13
29F,0.274,0.354,0.141,0.144
29G,,,,
29H,,,,
36A,,,,
36B,0.3,0.32,0.161,0.138
36C,0.3,0.278,0.174,0.115
36D,,,,
36E,,,,
36F,0.253,0.305,0.128,0.178
36G,0.272,0.312,0.084,0.126
39A,0.334,0.285,0.146,0.119
39B,,,,
39C,0.351,,0.154,
39D,0.232,0.26,0.093,0.106
39E,0.325,0.106,0.299,0.125
39F,,,,
39G,,,,
44A,0.228,0.246,0.103,0.092
44B,0.257,0.256,0.097,0.116
44C,0.278,0.301,0.114,0.106
44D,,,,
44E,0.251,0.262,0.094,0.105
44F,0.266,0.292,0.1,0.099
44G,0.281,0.307,0.105,0.113
44H,0.212,0.216,0.074,0.076
44I,,,,
44J,0.265,0.303,0.095,0.109
45A,0.281,0.258,0.095,0.095
45B,0.311,0.301,0.112,0.111
45C,0.274,0.263,0.1,0.114
45D,,,,
45E,0.282,0.262,0.108,0.082
45F,0.26,0.234,0.101,0.084
